似		si4	/to seem/to appear/to resemble/similar/-like/pseudo-/(more) than/
伽		jia1	/traditionally used as phonetic for ga/also pr. [ga1]/also pr. [qie2]/
伾		pi1	/multitudinous/powerful/
佀		si4	/old variant of 似[si4]/
佃		dian4	/farmer/
佃		tian2	/to cultivate/to hunt/
但		dan4	/but/yet/however/only/merely/still/
佇		zhu4	/to stand for a long time/to wait/to look forward to/to accumulate/
佈		bu4	/variant of 布[bu4]/to announce/to spread/
佉		Qu1	/surname Qu/
佌		ci3	/petty/wretched/
位		wei4	/position/location/place/seat/classifier for people (honorific)/classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)/(physics) potential/
低		di1	/low/beneath/to lower (one's head)/to let droop/to hang down/to incline/
住		zhu4	/to live/to dwell/to stay/to reside/to stop/(suffix indicating firmness, steadiness, or coming to a halt)/
佐		zuo3	/to assist/assistant/aide/to accompany/
佑		you4	/to assist/to protect/
佔		zhan4	/variant of 占[zhan4]/
何		He2	/surname He/
何		he2	/what/how/why/which/carry/
佗		tuo2	/carry on the back/
佘		She2	/surname She/
余		Yu2	/surname Yu/
余		yu2	/(archaic) I/me/variant of 餘|余[yu2], surplus/
佚		Yi4	/surname Yi/
佚		die2	/old variant of 迭[die2]/
佚		yi4	/lost/missing/forsaken/dissolute/(of a woman) beautiful/fault/offense/hermit/variant of 逸[yi4]/
佛		Fo2	/Buddha/Buddhism/
作		zuo1	/worker/workshop/(slang) troublesome/high-maintenance (person)/
作		zuo4	/to do/to grow/to write or compose/to pretend/to regard as/to feel/writings or works/
佝		gou1	/see 佝僂|佝偻[gou1 lou2]/
佝		kou4	/see 佝瞀[kou4 mao4]/
佞		ning4	/to flatter/flattery/
佟		Tong2	/surname Tong/
你		ni3	/you (informal, as opposed to courteous 您[nin2])/
佡		xian1	/variant of 仙, immortal/light (as a feather)/
佢		qu2	/he (Cantonese)/Mandarin equivalent: 他[ta1]/
佣		yong4	/commission (for middleman)/brokerage fee/
佤		wa3	/Wa, Kawa or Va ethnic group of Myanmar, south China and southeast Asia/
佧		ka3	/ancient name for an ethnic group in China/
佩		pei4	/to respect/to wear (belt etc)/
佪		huai2	/irresolute/to move back and forth/
佫		He4	/surname He/
佬		lao3	/male/man (Cantonese)/
佯		yang2	/to feign/to pretend/
佰		bai3	/hundred (banker's anti-fraud numeral)/
佱		fa3	/old variant of 法[fa3]/law/
佳		Jia1	/surname Jia/
佳		jia1	/beautiful/fine/good/
佴		er4	/assistant/
併		bing4	/to combine/to amalgamate/
